# KW court codes. Source: annex 1 to Dz.U. 2016 poz. 312 as replaced by Dz.U. 2026 poz. 740 (in force 2026-07-01),
# plus historical codes from earlier annex versions. Columns: code<TAB>last_valid_on (empty = current)<TAB>name
PO2H		Sąd Rejonowy w Chodzieży – wydział zamiejscowy z siedzibą w Wyrzysku
PO2P		Sąd Rejonowy Poznań-Stare Miasto w Poznaniu – dla części miasta Poznania w granicach ustalonych tradycyjnie dla dzielnic Nowe Miasto i Wilda, miast Luboń i Puszczykowo oraz gmin Komorniki i Swarzędz
PO2T		Sąd Rejonowy w Trzciance – wydział zamiejscowy z siedzibą w Czarnkowie
PR1J		Sąd Rejonowy w Jarosławiu
PR1L		Sąd Rejonowy w Lubaczowie
PR1P		Sąd Rejonowy w Przemyślu
PR1R		Sąd Rejonowy w Przeworsku
PR2R		Sąd Rejonowy w Przeworsku – wydział zamiejscowy z siedzibą w Sieniawie
PT1B		Sąd Rejonowy w Bełchatowie
PT1O		Sąd Rejonowy w Opocznie
PT1P		Sąd Rejonowy w Piotrkowie Trybunalskim
PT1R		Sąd Rejonowy w Radomsku
PT1T		Sąd Rejonowy w Tomaszowie Mazowieckim
RA1G		Sąd Rejonowy w Grójcu
RA1K		Sąd Rejonowy w Kozienicach
RA1L		Sąd Rejonowy w Lipsku
RA1P		Sąd Rejonowy w Przysusze
RA1R		Sąd Rejonowy w Radomiu
RA1S		Sąd Rejonowy w Szydłowcu
RA1Z		Sąd Rejonowy w Zwoleniu
RA2G		Sąd Rejonowy w Grójcu – wydział zamiejscowy z siedzibą w Białobrzegach
RA2Z	2017-08-07	Sąd Rejonowy w Zwoleniu – wydział zamiejscowy z siedzibą w Pionkach
RZ1A		Sąd Rejonowy w Łańcucie
RZ1D		Sąd Rejonowy w Dębicy
RZ1E		Sąd Rejonowy w Leżajsku
RZ1R		Sąd Rejonowy w Ropczycach
RZ1S		Sąd Rejonowy w Strzyżowie
RZ1Z		Sąd Rejonowy w Rzeszowie
RZ2Z	2023-04-04	Sąd Rejonowy w Rzeszowie – wydział zamiejscowy z siedzibą w Tyczynie
SI1G		Sąd Rejonowy w Garwolinie
SI1M		Sąd Rejonowy w Mińsku Mazowieckim
SI1P		Sąd Rejonowy w Sokołowie Podlaskim
SI1S		Sąd Rejonowy w Siedlcach
SI1W		Sąd Rejonowy w Węgrowie
SI2S		Sąd Rejonowy w Siedlcach – wydział zamiejscowy z siedzibą w Łosicach
SL1B		Sąd Rejonowy w Bytowie
SL1C		Sąd Rejonowy w Chojnicach
SL1L		Sąd Rejonowy w Lęborku
SL1M		Sąd Rejonowy w Miastku
SL1S		Sąd Rejonowy w Słupsku
SL1Z		Sąd Rejonowy w Człuchowie
SO1C		Sąd Rejonowy w Czeladzi
SR1L		Sąd Rejonowy w Łasku
SR1S		Sąd Rejonowy w Sieradzu
SR1W		Sąd Rejonowy w Wieluniu
SR1Z		Sąd Rejonowy w Zduńskiej Woli
SR2L		Sąd Rejonowy w Łasku – wydział zamiejscowy z siedzibą w Poddębicach
SR2W		Sąd Rejonowy w Wieluniu – wydział zamiejscowy z siedzibą w Pajęcznie
SU1A		Sąd Rejonowy w Augustowie
SU1N		Sąd Rejonowy w Augustowie – wydział zamiejscowy z siedzibą w Sejnach
SU1S		Sąd Rejonowy w Suwałkach
SW1D		Sąd Rejonowy w Dzierżoniowie
SW1K		Sąd Rejonowy w Kłodzku
SW1S		Sąd Rejonowy w Świdnicy
SW1W		Sąd Rejonowy w Wałbrzychu
SW1Z		Sąd Rejonowy w Ząbkowicach Śląskich
SW2K	2023-04-04	Sąd Rejonowy w Kłodzku – wydział zamiejscowy z siedzibą w Nowej Rudzie
SZ1C		Sąd Rejonowy w Choszcznie
SZ1G		Sąd Rejonowy w Gryficach
SZ1K		Sąd Rejonowy w Kamieniu Pomorskim
SZ1L		Sąd Rejonowy w Łobzie
SZ1M		Sąd Rejonowy w Myśliborzu
SZ1O		Sąd Rejonowy w Goleniowie
SZ1S		Sąd Rejonowy Szczecin-Prawobrzeże i Zachód w Szczecinie
SZ1T		Sąd Rejonowy w Stargardzie
SZ1W		Sąd Rejonowy w Świnoujściu
SZ1Y		Sąd Rejonowy w Gryfinie
SZ2S		Sąd Rejonowy Szczecin-Prawobrzeże i Zachód w Szczecinie – wydział zamiejscowy z siedzibą w Policach
SZ2T		Sąd Rejonowy w Stargardzie – wydział zamiejscowy z siedzibą w Pyrzycach
TB1K		Sąd Rejonowy w Kolbuszowej
TB1M		Sąd Rejonowy w Mielcu
TB1N		Sąd Rejonowy w Nisku
TB1S		Sąd Rejonowy w Stalowej Woli
TB1T		Sąd Rejonowy w Tarnobrzegu
TO1B		Sąd Rejonowy w Brodnicy
TO1C		Sąd Rejonowy w Chełmnie
TO1G		Sąd Rejonowy w Golubiu-Dobrzyniu
TO1T		Sąd Rejonowy w Toruniu
TO1U		Sąd Rejonowy w Grudziądzu
TO1W		Sąd Rejonowy w Wąbrzeźnie
TR1B		Sąd Rejonowy w Brzesku
TR1D		Sąd Rejonowy w Dąbrowie Tarnowskiej
TR1O		Sąd Rejonowy w Bochni
TR1T		Sąd Rejonowy w Tarnowie
TR2T		Sąd Rejonowy w Tarnowie – wydział zamiejscowy z siedzibą w Tuchowie
WA1G		Sąd Rejonowy w Grodzisku Mazowieckim
WA1I		Sąd Rejonowy w Piasecznie
WA1L		Sąd Rejonowy w Legionowie
WA1M		Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie – dla części miasta stołecznego Warszawy w granicach ustalonych dla dzielnic: Bemowo, Bielany, Ochota i Żoliborz oraz gminy Izabelin
WA1N		Sąd Rejonowy w Nowym Dworze Mazowieckim
WA1O		Sąd Rejonowy w Otwocku
WA1P		Sąd Rejonowy w Pruszkowie
WA1W		Sąd Rejonowy w Wołominie
WA2M		Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie – dla części miasta stołecznego Warszawy w granicach ustalonych dla dzielnic Mokotów i Wilanów
WA3M		Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie – dla części miasta stołecznego Warszawy w granicach ustalonych dla dzielnic: Białołęka, Praga-Północ i Targówek
WA4M		Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie – dla części miasta stołecznego Warszawy w Warszawie w granicach ustalonych dla dzielnic Śródmieście i Wola oraz gminy Łomianki
WA5M		Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie – dla części miasta stołecznego Warszawy w granicach ustalonych dla dzielnic: Ursus, Ursynów i Włochy
WA6M		Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie – dla części miasta stołecznego Warszawy w granicach ustalonych dla dzielnic: Praga-Południe, Rembertów, Wawer i Wesoła
WL1A		Sąd Rejonowy w Aleksandrowie Kujawskim
WL1L		Sąd Rejonowy w Lipnie
